Name,Pos,GP,G,A,P,PIM,TOI,SH,G/GP,A/GP,P/GP,HITS,BS,G/A,Label
Mark Jankowski,F,50,7,5,12,18,12.26,1.5,0.14,0.1,0.24,45,31,1.4,Grinder
Phil Di Giuseppe,F,30,6,6,12,14,14.34,0.55,0.2,0.2,0.4,52,10,1.0,Grinder
Cal Clutterbuck,F,49,6,6,12,30,12.13,1.41,0.122,0.122,0.245,194,33,1.0,Grinder
Josh Archibald,F,62,6,6,12,43,9.58,1.42,0.097,0.097,0.194,195,28,1.0,Grinder
Nick Deslauriers,F,80,6,6,12,136,10.05,0.5,0.075,0.075,0.15,306,26,1.0,Grinder
Derek Forbort,D,54,5,7,12,23,17.43,3.07,0.093,0.13,0.222,106,88,0.7142857142857143,Defensive
Zach Whitecloud,D,59,5,7,12,41,17.06,1.22,0.085,0.119,0.203,90,97,0.7142857142857143,Defensive
A.J. Greer,F,61,5,7,12,114,9.06,0.03,0.082,0.115,0.197,101,25,0.7142857142857143,Grinder
Nicolas Aube-Kubel,F,53,4,8,12,50,11.21,0.1,0.075,0.151,0.226,117,9,0.5,Grinder
Patrick Brown,F,61,4,8,12,44,11.22,1.16,0.066,0.131,0.197,167,42,0.5,Grinder
Jeremy Lauzon,D,67,3,9,12,66,16.5,2.15,0.045,0.134,0.179,250,75,0.3333333333333333,Defensive
Calvin de Haan,D,53,2,10,12,20,13.31,0.31,0.038,0.189,0.226,84,49,0.2,Defensive
Jon Merrill,D,73,2,10,12,38,15.08,1.02,0.027,0.137,0.164,47,107,0.2,Defensive
Jaycob Megna,D,54,1,11,12,21,18.51,1.43,0.019,0.204,0.222,86,66,0.09090909090909091,Defensive
Austin Watson,F,75,9,2,11,123,10.13,2.07,0.12,0.027,0.147,165,61,4.5,Grinder
Walker Duehr,F,27,7,4,11,4,10.11,0.0,0.259,0.148,0.407,55,4,1.75,Grinder
Mark Kastelic,F,65,7,4,11,102,8.53,0.25,0.108,0.062,0.169,154,37,1.75,Grinder
Michael Stone,D,48,6,5,11,35,13.18,0.23,0.125,0.104,0.229,54,59,1.2,Defensive
Jordan Greenway,F,62,6,5,11,26,13.3,0.23,0.097,0.081,0.177,107,39,1.2,Grinder
Drew O'Connor,F,46,5,6,11,12,9.48,0.33,0.109,0.13,0.239,63,14,0.8333333333333334,Grinder
Derek Stepan,F,73,5,6,11,8,9.04,0.4,0.068,0.082,0.151,29,21,0.8333333333333334,Grinder
Scott Harrington,D,45,4,7,11,10,16.26,0.32,0.089,0.156,0.244,51,78,0.5714285714285714,Defensive
Mario Ferraro,D,72,4,7,11,24,21.36,2.54,0.056,0.097,0.153,129,145,0.5714285714285714,Defensive
Marcus Björk,D,33,3,8,11,42,18.09,0.29,0.091,0.242,0.333,45,47,0.375,Defensive
Liam O'Brien,F,56,3,8,11,114,11.25,0.56,0.054,0.143,0.196,203,28,0.375,Grinder
Cole Sillinger,F,64,3,8,11,22,13.18,0.42,0.047,0.125,0.172,105,36,0.375,Grinder
Vince Hinostroza,F,26,2,9,11,6,12.36,0.16,0.077,0.346,0.423,1,7,0.2222222222222222,Grinder
Jordan Oesterle,D,52,2,9,11,19,15.39,0.13,0.038,0.173,0.212,41,68,0.2222222222222222,Defensive
Alexander Edler,D,64,2,9,11,34,14.46,1.23,0.031,0.141,0.172,106,104,0.2222222222222222,Defensive
Dante Fabbro,D,79,2,9,11,50,17.26,1.47,0.025,0.114,0.139,113,129,0.2222222222222222,Defensive
Brandon Duhaime,F,51,9,1,10,42,10.45,0.51,0.176,0.02,0.196,146,18,9.0,Grinder
Jake Neighbours,F,43,6,4,10,24,12.25,0.07,0.14,0.093,0.233,63,21,1.5,Grinder
Juraj Slafkovsky,F,39,4,6,10,33,12.12,0.0,0.103,0.154,0.256,53,24,0.6666666666666666,Grinder
Brad Hunt,D,47,4,6,10,12,11.12,0.02,0.085,0.128,0.213,16,10,0.6666666666666666,Defensive
Zack MacEwen,F,56,4,6,10,66,11.34,0.01,0.071,0.107,0.179,150,29,0.6666666666666666,Grinder
Dylan Gambrell,F,60,4,6,10,35,11.23,2.09,0.067,0.1,0.167,60,45,0.6666666666666666,Grinder
Saku Mäenalanen,F,64,4,6,10,16,10.19,1.23,0.063,0.094,0.156,113,31,0.6666666666666666,Grinder
MacKenzie Entwistle,F,66,4,6,10,14,11.55,0.08,0.061,0.091,0.152,126,28,0.6666666666666666,Grinder
Chris Tierney,F,36,3,7,10,6,10.51,1.12,0.083,0.194,0.278,15,21,0.42857142857142855,Grinder
Artyom Zub,D,53,3,7,10,39,20.15,1.29,0.057,0.132,0.189,131,67,0.42857142857142855,Defensive
Simon Benoit,D,78,3,7,10,60,19.2,3.03,0.038,0.09,0.128,216,128,0.42857142857142855,Defensive
Josh Manson,D,27,2,8,10,42,17.41,2.07,0.074,0.296,0.37,64,41,0.25,Offensive
Colin Blackwell,F,53,2,8,10,6,11.48,1.29,0.038,0.151,0.189,49,17,0.25,Grinder
Mattias Samuelsson,D,55,2,8,10,20,22.1,2.45,0.036,0.145,0.182,107,91,0.25,Defensive
Nathan Walker,F,56,2,8,10,25,10.17,0.31,0.036,0.143,0.179,82,35,0.25,Grinder
Joel Kiviranta,F,70,8,1,9,40,12.09,1.34,0.114,0.014,0.129,117,20,8.0,Grinder
Joey Anderson,F,38,6,3,9,0,11.41,0.54,0.158,0.079,0.237,36,17,2.0,Grinder
Simon Holmström,F,50,6,3,9,0,11.05,0.1,0.12,0.06,0.18,9,22,2.0,Grinder
Kevin Stenlund,F,54,6,3,9,20,11.38,1.48,0.111,0.056,0.167,31,28,2.0,Grinder
Brett Leason,F,54,6,3,9,14,10.53,0.03,0.111,0.056,0.167,35,18,2.0,Grinder
Nils Höglander,F,25,3,6,9,6,12.03,0.0,0.12,0.24,0.36,21,8,0.5,Grinder
Dylan Holloway,F,51,3,6,9,27,9.35,0.0,0.059,0.118,0.176,83,16,0.5,Grinder
Jan Rutta,D,56,3,6,9,30,17.07,2.33,0.054,0.107,0.161,71,70,0.5,Defensive
Alexandre Carrier,D,43,2,7,9,27,17.53,2.02,0.047,0.163,0.209,57,67,0.2857142857142857,Defensive
Brendan Lemieux,F,45,2,7,9,74,10.1,0.14,0.044,0.156,0.2,131,15,0.2857142857142857,Grinder
Devin Shore,F,47,1,8,9,4,8.57,0.17,0.021,0.17,0.191,46,24,0.125,Grinder
Jacob Bryson,D,59,1,8,9,8,14.35,0.54,0.017,0.136,0.153,34,69,0.125,Defensive
Victor Söderström,D,30,0,9,9,24,16.1,0.19,0.0,0.3,0.3,17,39,0.0,Defensive
Martin Kaut,F,36,4,4,8,4,10.24,0.11,0.111,0.111,0.222,23,5,1.0,Grinder
Vitaly Kravtsov,F,44,4,4,8,10,11.12,0.0,0.091,0.091,0.182,28,15,1.0,Grinder
Jack Studnicka,F,48,4,4,8,16,10.35,0.29,0.083,0.083,0.167,61,19,1.0,Grinder
Lukas Sedlak,F,30,3,5,8,12,12.12,1.37,0.1,0.167,0.267,58,31,0.6,Grinder
Ben Hutton,D,31,3,5,8,6,15.59,0.1,0.097,0.161,0.258,18,34,0.6,Defensive
Jack Drury,F,38,2,6,8,14,10.47,0.13,0.053,0.158,0.211,12,16,0.3333333333333333,Grinder
Kevin Bahl,D,42,2,6,8,35,14.01,0.52,0.048,0.143,0.19,64,38,0.3333333333333333,Defensive
Jarred Tinordi,F,44,2,6,8,40,16.27,1.41,0.045,0.136,0.182,139,68,0.3333333333333333,Grinder
Rasmus Asplund,F,46,2,6,8,4,10.57,0.42,0.043,0.13,0.174,23,11,0.3333333333333333,Grinder
Jayson Megna,F,55,2,6,8,6,10.0,0.57,0.036,0.109,0.145,47,23,0.3333333333333333,Grinder
Dylan Samberg,D,63,2,6,8,25,14.55,1.5899999999999999,0.032,0.095,0.127,91,93,0.3333333333333333,Defensive
Jack Johnson,D,83,2,6,8,28,19.08,2.04,0.024,0.072,0.096,117,127,0.3333333333333333,Defensive
Ian Mitchell,D,35,1,7,8,8,15.5,0.05,0.029,0.2,0.229,16,37,0.14285714285714285,Defensive
Gustav Lindström,D,36,1,7,8,20,14.1,0.01,0.028,0.194,0.222,39,34,0.14285714285714285,Defensive
Nikita Zaitsev,D,46,1,7,8,20,16.27,2.13,0.022,0.152,0.174,95,72,0.14285714285714285,Defensive
Philip Broberg,D,46,1,7,8,2,12.36,0.58,0.022,0.152,0.174,28,35,0.14285714285714285,Defensive
Riley Stillman,D,50,1,7,8,36,14.38,0.57,0.02,0.14,0.16,81,44,0.14285714285714285,Defensive
Jacob MacDonald,D,58,1,7,8,23,12.02,0.03,0.017,0.121,0.138,69,43,0.14285714285714285,Defensive
Erik Johnson,D,63,0,8,8,12,17.15,2.01,0.0,0.127,0.127,121,102,0.0,Defensive
Vasili Podkolzin,F,39,4,3,7,9,11.5,0.01,0.103,0.077,0.179,52,15,1.3333333333333333,Grinder
Josh Brown,D,68,4,3,7,87,15.45,2.4699999999999998,0.059,0.044,0.103,152,118,1.3333333333333333,Defensive
Nikita Alexandrov,F,28,3,4,7,8,9.48,0.04,0.107,0.143,0.25,28,13,0.75,Grinder
Filip Zadina,F,30,3,4,7,10,13.05,0.03,0.1,0.133,0.233,22,15,0.75,Grinder
Connor Mackey,D,30,3,4,7,48,14.02,1.23,0.1,0.133,0.233,61,29,0.75,Defensive
Jonah Gadjovich,F,35,3,4,7,57,8.59,0.0,0.086,0.114,0.2,92,5,0.75,Grinder
Karson Kuhlman,F,47,3,4,7,8,11.5,1.04,0.064,0.085,0.149,41,18,0.75,Grinder
Sam Carrick,F,52,3,4,7,86,10.33,0.44,0.058,0.077,0.135,98,24,0.75,Grinder
Robert Hägg,D,38,2,5,7,26,15.31,0.54,0.053,0.132,0.184,111,47,0.4,Defensive
Callan Foote,D,50,2,5,7,63,15.07,1.03,0.04,0.1,0.14,58,52,0.4,Defensive
Reese Johnson,F,57,4,2,6,38,11.0,1.06,0.07,0.035,0.105,178,23,2.0,Grinder
Lane Pederson,F,27,3,3,6,26,11.55,0.08,0.111,0.111,0.222,68,11,1.0,Grinder
Luke Glendening,F,70,3,3,6,50,12.03,2.16,0.043,0.043,0.086,114,60,1.0,Grinder
Logan Brown,F,30,2,4,6,8,10.24,0.0,0.067,0.133,0.2,22,7,0.5,Grinder
Alex Goligoski,D,46,2,4,6,16,17.4,0.57,0.043,0.087,0.13,33,67,0.5,Defensive
Ben Harpur,D,42,1,5,6,20,14.03,0.12,0.024,0.119,0.143,63,57,0.2,Defensive
Kurtis MacDermid,D,44,1,5,6,55,8.19,0.15,0.023,0.114,0.136,86,31,0.2,Defensive
Niko Mikkola,D,81,1,5,6,58,17.25,1.47,0.012,0.062,0.074,151,106,0.2,Defensive
Chris Wideman,D,46,0,6,6,81,13.3,0.04,0.0,0.13,0.13,25,51,0.0,Defensive
Colton White,D,46,0,6,6,8,14.31,0.47,0.0,0.13,0.13,34,37,0.0,Defensive
David Gustafsson,F,46,0,6,6,6,10.05,1.3,0.0,0.13,0.13,25,18,0.0,Grinder
Austin Czarnik,F,29,3,2,5,8,11.1,0.14,0.103,0.069,0.172,16,13,1.5,Grinder
Curtis Lazar,F,48,3,2,5,21,11.58,1.03,0.063,0.042,0.104,135,52,1.5,Grinder
Robert Bortuzzo,D,43,2,3,5,29,12.34,1.54,0.047,0.07,0.116,64,49,0.6666666666666666,Defensive
Kyle Burroughs,D,48,2,3,5,62,17.21,1.45,0.042,0.063,0.104,165,84,0.6666666666666666,Defensive
Matt Irwin,D,61,2,3,5,36,13.02,0.54,0.033,0.049,0.082,117,75,0.6666666666666666,Defensive
Zach Bogosian,D,46,1,4,5,42,14.58,0.37,0.022,0.087,0.109,114,50,0.25,Defensive
Chad Ruhwedel,D,47,1,4,5,18,14.34,1.48,0.021,0.085,0.106,90,51,0.25,Defensive
Alexander Alexeyev,D,32,0,5,5,4,16.27,1.07,0.0,0.156,0.156,33,48,0.0,Defensive
Vincent Desharnais,D,36,0,5,5,31,13.32,2.13,0.0,0.139,0.139,45,48,0.0,Defensive
Brendan Smith,D,60,0,5,5,63,15.33,1.35,0.0,0.083,0.083,102,76,0.0,Defensive
Patrik Nemeth,D,75,0,5,5,30,17.46,3.15,0.0,0.067,0.067,116,118,0.0,Defensive
Ben Meyers,F,39,4,0,4,6,9.35,0.0,0.103,0.0,0.103,25,13,0.0,Grinder
Michael McCarron,F,32,2,2,4,24,10.32,1.18,0.063,0.063,0.125,75,20,1.0,Grinder
Tanner Laczynski,F,32,2,2,4,2,9.31,0.08,0.063,0.063,0.125,30,10,1.0,Grinder
Tyler Tucker,D,26,1,3,4,31,14.38,0.26,0.038,0.115,0.154,50,26,0.3333333333333333,Defensive
Fredrik Olofsson,F,28,1,3,4,2,10.12,0.0,0.036,0.107,0.143,32,8,0.3333333333333333,Grinder
Givani Smith,F,36,1,3,4,72,7.0,0.0,0.028,0.083,0.111,67,8,0.3333333333333333,Grinder
Parker Kelly,F,55,1,3,4,37,10.3,2.14,0.018,0.055,0.073,172,25,0.3333333333333333,Grinder
Kale Clague,D,33,0,4,4,24,15.06,0.02,0.0,0.121,0.121,24,24,0.0,Defensive
Andreas Englund,D,47,0,4,4,35,12.06,0.42,0.0,0.085,0.085,133,33,0.0,Defensive
Nathan Beaulieu,D,52,0,4,4,39,15.14,2.14,0.0,0.077,0.077,49,80,0.0,Defensive
Kieffer Bellows,F,28,3,0,3,6,9.41,0.0,0.107,0.0,0.107,48,10,0.0,Grinder
Dryden Hunt,F,37,3,0,3,24,8.04,0.0,0.081,0.0,0.081,100,4,0.0,Grinder
Radim Simek,D,44,1,2,3,29,14.37,1.05,0.023,0.045,0.068,89,74,0.5,Defensive
Tim Berni,D,59,1,2,3,34,16.57,0.22,0.017,0.034,0.051,122,74,0.5,Defensive
Casey Fitzgerald,D,27,0,3,3,4,11.54,1.33,0.0,0.111,0.111,35,12,0.0,Defensive
Zack Kassian,F,51,2,0,2,50,9.09,0.01,0.039,0.0,0.039,32,8,0.0,Grinder
Joel Hanley,D,26,0,2,2,15,11.38,0.02,0.0,0.077,0.077,24,28,0.0,Defensive
Justin Braun,D,51,0,2,2,19,14.58,1.24,0.0,0.039,0.039,47,49,0.0,Defensive
Haydn Fleury,D,29,0,1,1,14,12.47,0.55,0.0,0.034,0.034,30,30,0.0,Defensive
