Name,Pos,GP,G,A,P,PIM,TOI,SH,G/GP,A/GP,P/GP,HITS,BS,G/A,Label
Brandon Saad,F,71,19,18,37,12,16.39,1.08,0.268,0.254,0.521,24,31,1.0555555555555556,Playmaker
Ryan Hartman,F,59,15,22,37,90,16.17,0.46,0.254,0.373,0.627,62,48,0.6818181818181818,Playmaker
Conor Sheary,F,82,15,22,37,22,15.45,1.4,0.183,0.268,0.451,57,39,0.6818181818181818,Two-way
Jack Quinn,F,75,14,23,37,15,13.5,0.33,0.187,0.307,0.493,43,19,0.6086956521739131,Playmaker
Teuvo Teräväinen,F,68,12,25,37,16,16.54,1.46,0.176,0.368,0.544,15,18,0.48,Two-way
Seth Jones,D,72,12,25,37,30,24.27,1.54,0.167,0.347,0.514,106,125,0.48,All-around
Samuel Girard,D,76,6,31,37,16,21.29,1.18,0.079,0.408,0.487,67,116,0.1935483870967742,Offensive
Cole Caufield,F,46,26,10,36,2,18.02,0.0,0.565,0.217,0.783,18,12,2.6,Sniper
Taylor Hall,F,61,16,20,36,24,15.55,0.0,0.262,0.328,0.59,35,33,0.8,Playmaker
Alex Iafallo,F,59,14,22,36,20,16.18,1.51,0.237,0.373,0.61,27,33,0.6363636363636364,Two-way
Phil Kessel,F,82,14,22,36,30,12.48,0.0,0.171,0.268,0.439,10,28,0.6363636363636364,Grinder
Stefan Noesen,F,78,13,23,36,32,12.19,0.0,0.167,0.295,0.462,99,18,0.5652173913043478,Playmaker
Adam Lowry,F,82,13,23,36,48,15.38,2.18,0.159,0.28,0.439,161,46,0.5652173913043478,Grinder
Dmitry Orlov,D,66,7,29,36,22,22.32,2.04,0.106,0.439,0.545,137,85,0.2413793103448276,All-around
Shane Pinto,F,82,20,15,35,18,15.58,0.26,0.244,0.183,0.427,71,49,1.3333333333333333,Grinder
T.J. Oshie,F,58,19,16,35,59,16.43,0.04,0.328,0.276,0.603,125,34,1.1875,Playmaker
Brandon Tanev,F,82,16,19,35,44,14.13,2.33,0.195,0.232,0.427,190,68,0.8421052631578947,Grinder
Cody Glass,F,72,14,21,35,20,14.46,0.09,0.194,0.292,0.486,62,31,0.6666666666666666,Playmaker
Rasmus Sandin,D,71,7,28,35,39,19.19,0.08,0.099,0.394,0.493,136,87,0.25,Offensive
Owen Power,D,79,4,31,35,24,23.48,1.05,0.051,0.392,0.443,27,86,0.12903225806451613,Offensive
Zach Parise,F,82,21,13,34,24,16.08,1.46,0.256,0.159,0.415,89,83,1.6153846153846154,Grinder
Jordan Staal,F,81,17,17,34,32,16.16,2.21,0.21,0.21,0.42,155,39,1.0,Grinder
Kasperi Kapanen,F,66,15,19,34,18,13.41,0.44,0.227,0.288,0.515,99,20,0.7894736842105263,Playmaker
Travis Boyd,F,82,15,19,34,26,16.31,1.01,0.183,0.232,0.415,39,59,0.7894736842105263,Grinder
Mike Hoffman,F,67,14,20,34,28,15.4,0.01,0.209,0.299,0.507,24,24,0.7,Playmaker
Jordan Martinook,F,82,13,21,34,61,15.37,2.0,0.159,0.256,0.415,81,31,0.6190476190476191,Grinder
Jared Spurgeon,D,79,11,23,34,14,21.48,2.57,0.139,0.291,0.43,66,179,0.4782608695652174,All-around
Blake Lizotte,F,81,11,23,34,70,12.56,1.21,0.136,0.284,0.42,96,39,0.4782608695652174,Grinder
Michael Matheson,D,48,8,26,34,33,24.27,2.17,0.167,0.542,0.708,53,80,0.3076923076923077,All-around
Justin Schultz,D,73,7,27,34,40,17.47,0.03,0.096,0.37,0.466,30,72,0.25925925925925924,Offensive
Juuso Välimäki,D,78,4,30,34,59,18.1,0.36,0.051,0.385,0.436,53,98,0.13333333333333333,Offensive
Kyle Palmieri,F,55,16,17,33,24,17.05,0.15,0.291,0.309,0.6,76,17,0.9411764705882353,Playmaker
Kevin Labanc,F,72,15,18,33,36,14.19,0.0,0.208,0.25,0.458,70,28,0.8333333333333334,Playmaker
Anton Lundell,F,73,12,21,33,43,16.22,1.55,0.164,0.288,0.452,29,32,0.5714285714285714,Two-way
Sonny Milano,F,64,11,22,33,18,12.54,0.0,0.172,0.344,0.516,39,15,0.5,Playmaker
John Klingberg,D,67,10,23,33,34,20.37,0.01,0.149,0.343,0.493,55,84,0.43478260869565216,Offensive
Neal Pionk,D,82,10,23,33,44,21.56,1.41,0.122,0.28,0.402,169,129,0.43478260869565216,All-around
Jakob Chychrun,D,48,9,24,33,30,22.42,0.53,0.188,0.5,0.688,55,83,0.375,Offensive
Adam Larsson,D,82,8,25,33,47,23.38,2.48,0.098,0.305,0.402,222,173,0.32,All-around
Evgeny Dadonov,F,73,7,26,33,18,14.43,0.14,0.096,0.356,0.452,33,43,0.2692307692307692,Playmaker
Damon Severson,D,81,7,26,33,38,19.57,1.01,0.086,0.321,0.407,44,115,0.2692307692307692,Offensive
Josh Anderson,F,69,21,11,32,72,16.57,1.16,0.304,0.159,0.464,139,49,1.9090909090909092,Playmaker
Nick Paul,F,80,17,15,32,33,16.09,1.24,0.213,0.188,0.4,111,46,1.1333333333333333,Grinder
Ross Colton,F,81,16,16,32,50,12.21,0.0,0.198,0.198,0.395,188,28,1.0,Grinder
Tyler Johnson,F,56,12,20,32,16,16.33,0.02,0.214,0.357,0.571,49,25,0.6,Playmaker
John Peterka,F,77,12,20,32,26,13.38,0.04,0.156,0.26,0.416,18,10,0.6,Grinder
Alexander Kerfoot,F,82,10,22,32,30,14.37,1.37,0.122,0.268,0.39,54,46,0.45454545454545453,Grinder
Mattias Ekholm,D,78,9,23,32,28,21.28,2.3,0.115,0.295,0.41,91,104,0.391304347826087,All-around
Torey Krug,D,63,7,25,32,49,18.35,0.03,0.111,0.397,0.508,40,87,0.28,Offensive
Jake Sanderson,D,77,4,28,32,12,21.55,3.16,0.052,0.364,0.416,43,147,0.14285714285714285,All-around
Eeli Tolvanen,F,61,18,13,31,14,14.3,0.07,0.295,0.213,0.508,91,51,1.3846153846153846,Playmaker
Trent Frederic,F,79,17,14,31,57,11.55,0.27,0.215,0.177,0.392,105,36,1.2142857142857142,Grinder
Jonathan Toews,F,53,15,16,31,43,17.42,1.07,0.283,0.302,0.585,9,23,0.9375,Playmaker
Mason Marchment,F,68,12,19,31,80,15.42,0.0,0.176,0.279,0.456,88,39,0.631578947368421,Playmaker
Barclay Goodrow,F,82,11,20,31,58,14.1,1.48,0.134,0.244,0.378,122,64,0.55,Grinder
J.J. Moser,D,82,7,24,31,35,21.03,2.52,0.085,0.293,0.378,80,137,0.2916666666666667,Offensive
Jeff Petry,D,61,5,26,31,24,22.2,2.22,0.082,0.426,0.508,190,111,0.19230769230769232,All-around
Mackenzie Weegar,D,81,4,27,31,43,21.05,1.42,0.049,0.333,0.383,186,117,0.14814814814814814,Offensive
Pierre Engvall,F,76,17,13,30,31,13.38,0.25,0.224,0.171,0.395,47,6,1.3076923076923077,Grinder
Ryan O'Reilly,F,53,16,14,30,16,17.56,1.37,0.302,0.264,0.566,18,23,1.1428571428571428,Two-way
Nicolas Roy,F,65,14,16,30,24,16.17,1.13,0.215,0.246,0.462,83,41,0.875,Playmaker
Alex Newhook,F,82,14,16,30,22,13.57,0.02,0.171,0.195,0.366,60,26,0.875,Grinder
Yegor Sharangovich,F,75,13,17,30,16,14.25,1.5899999999999999,0.173,0.227,0.4,22,41,0.7647058823529411,Grinder
Colton Sissons,F,82,12,18,30,20,15.49,2.51,0.146,0.22,0.366,164,72,0.6666666666666666,Grinder
Jason Dickinson,F,78,9,21,30,28,15.56,1.55,0.115,0.269,0.385,112,80,0.42857142857142855,Grinder
Tyler Bertuzzi,F,50,8,22,30,29,16.29,0.0,0.16,0.44,0.6,54,22,0.36363636363636365,Playmaker
Cole Perfetti,F,51,8,22,30,16,14.58,0.0,0.157,0.431,0.588,35,22,0.36363636363636365,Playmaker
Jacob Trouba,D,82,8,22,30,63,21.11,2.03,0.098,0.268,0.366,218,196,0.36363636363636365,Offensive
Brett Pesce,D,82,5,25,30,43,22.0,2.24,0.061,0.305,0.366,37,110,0.2,Offensive
Nick Bjugstad,F,78,17,12,29,34,16.12,2.03,0.218,0.154,0.372,168,44,1.4166666666666667,Grinder
Eric Staal,F,72,14,15,29,26,14.14,2.29,0.194,0.208,0.403,27,45,0.9333333333333333,Grinder
Jeff Carter,F,79,13,16,29,30,13.42,1.07,0.165,0.203,0.367,80,54,0.8125,Grinder
