Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Andy Greene,NJD,30,D,48,4,12,16,20,12,23:02,18:36,1:56,2:30,1,2,1,1,0,8,4,0,2,0,9,6,1,3,0,37.5%,0.217,0.651,0.868,0.067,0.537,0.605,1.291,2.583,3.874,0.083,0.25,0.333,63,6.4%,47,70,0,0,0.00%
Chris Higgins,VAN,29,F,41,10,5,15,10,-4,16:24,13:38,0:48,1:57,10,0,0,1,0,5,0,0,0,0,15,0,0,1,0,0.0%,0.891,0.446,1.337,1.072,0.536,1.608,0.0,0.0,0.0,0.244,0.122,0.366,77,13.0%,46,22,33,58,36.26%
Daniel Cleary,DET,34,F,48,9,6,15,40,-6,16:26,12:46,2:30,1:08,3,5,1,0,0,6,0,0,0,0,9,5,1,0,0,33.3%,0.684,0.456,1.14,0.293,0.587,0.88,2.486,0.0,2.486,0.188,0.125,0.313,93,9.7%,56,21,11,12,47.83%
Andrew Shaw,CHI,21,F,48,9,6,15,38,6,15:03,12:55,2:02,0:04,7,2,0,2,0,6,0,0,1,0,13,2,0,3,0,13.3%,0.747,0.498,1.246,0.677,0.58,1.257,1.225,0.0,1.225,0.188,0.125,0.313,64,14.1%,70,14,201,256,43.98%
Steve Bernier,NJD,27,F,47,8,7,15,17,-7,13:45,11:46,1:57,0:02,6,2,0,1,0,5,2,0,0,0,11,4,0,1,0,26.7%,0.742,0.649,1.391,0.651,0.542,1.193,1.307,1.307,2.614,0.17,0.149,0.319,88,9.1%,64,15,5,5,50.00%
Nate Thompson,TBL,28,F,45,7,8,15,17,-2,14:20,11:48,0:06,2:25,7,0,0,0,0,8,0,0,0,0,15,0,0,0,0,0.0%,0.651,0.744,1.395,0.79,0.903,1.693,0.0,0.0,0.0,0.156,0.178,0.333,58,12.1%,85,31,310,295,51.24%
Kyle Wellwood,WPG,29,F,39,6,9,15,2,0,12:58,12:01,0:56,0:00,6,0,0,2,0,7,2,0,2,0,13,2,0,4,0,13.3%,0.711,1.067,1.778,0.767,0.895,1.662,0.0,3.252,3.252,0.154,0.231,0.385,37,16.2%,10,10,43,35,55.13%
Ryan Carter,NJD,29,F,44,6,9,15,31,-2,13:03,12:04,0:03,0:55,5,0,1,1,0,7,0,2,0,0,12,0,3,1,0,0.0%,0.627,0.94,1.567,0.565,0.791,1.356,0.0,0.0,0.0,0.136,0.205,0.341,63,9.5%,50,15,43,40,51.81%
Casey Cizikas,NYI,21,F,45,6,9,15,14,0,10:47,10:02,0:01,0:42,6,0,0,1,0,8,1,0,0,0,14,1,0,1,0,6.7%,0.742,1.112,1.854,0.797,1.063,1.86,0.0,40.449,40.449,0.133,0.2,0.333,45,13.3%,75,21,144,132,52.17%
Justin Faulk,CAR,20,D,38,5,10,15,15,1,24:00,18:22,2:38,2:59,3,1,1,0,0,8,2,0,0,0,11,3,1,0,0,20.0%,0.329,0.658,0.987,0.258,0.687,0.945,0.597,1.193,1.79,0.132,0.263,0.395,76,6.6%,63,47,0,0,0.00%
Jared Spurgeon,MIN,23,D,39,5,10,15,4,1,21:32,17:07,3:05,1:19,1,4,0,2,0,7,3,0,1,0,8,7,0,3,0,46.7%,0.357,0.714,1.071,0.09,0.629,0.719,1.989,1.492,3.482,0.128,0.256,0.385,67,7.5%,46,55,0,0,0.00%
Tobias Enström,WPG,28,D,22,4,11,15,8,-8,22:31,17:10,3:40,1:40,3,1,0,2,0,4,6,1,1,0,7,7,1,3,0,46.7%,0.484,1.332,1.816,0.476,0.635,1.112,0.743,4.455,5.198,0.182,0.5,0.682,21,19.1%,9,38,0,0,0.00%
Sean Couturier,PHI,20,F,46,4,11,15,10,-8,15:53,11:52,1:29,2:31,4,0,0,0,0,7,4,0,3,1,11,4,0,3,1,26.7%,0.328,0.903,1.231,0.439,0.769,1.208,0.0,3.489,3.489,0.087,0.239,0.326,75,5.3%,31,27,243,310,43.94%
Mark Giordano,CGY,29,D,47,4,11,15,40,-7,23:09,18:15,2:10,2:43,2,1,1,1,1,8,2,1,2,0,10,3,2,3,1,20.0%,0.22,0.606,0.827,0.14,0.559,0.699,0.586,1.172,1.758,0.085,0.234,0.319,58,6.9%,65,93,0,0,0.00%
Zack Smith,OTT,24,F,48,4,11,15,56,-9,15:08,13:59,0:40,0:29,4,0,0,0,0,9,2,0,1,0,13,2,0,1,0,13.3%,0.33,0.908,1.238,0.357,0.804,1.162,0.0,3.738,3.738,0.083,0.229,0.313,94,4.3%,97,22,379,352,51.85%
Sergei Kostitsyn,NSH,25,F,46,3,12,15,11,-5,16:43,13:45,1:43,1:14,2,1,0,0,0,10,2,0,2,2,12,3,0,2,2,20.0%,0.234,0.936,1.17,0.19,0.948,1.138,0.755,1.51,2.265,0.065,0.261,0.326,42,7.1%,27,25,3,1,75.00%
Scott Gomez,SJS,33,F,39,2,13,15,22,-10,13:32,11:18,2:13,0:00,2,0,0,0,0,5,8,0,0,0,7,8,0,0,0,53.3%,0.227,1.478,1.705,0.272,0.681,0.953,0.0,5.525,5.525,0.051,0.333,0.385,58,3.5%,4,11,181,143,55.86%
Carl Gunnarsson,TOR,26,D,37,1,14,15,14,5,21:16,17:55,0:45,2:35,1,0,0,0,0,14,0,0,0,0,15,0,0,0,0,0.0%,0.076,1.067,1.143,0.09,1.266,1.357,0.0,0.0,0.0,0.027,0.378,0.405,28,3.6%,78,71,0,0,0.00%
Charlie Coyle,MIN,20,F,37,8,6,14,28,3,15:03,13:53,0:46,0:23,7,1,0,2,0,6,0,0,1,0,13,1,0,3,0,7.1%,0.861,0.646,1.507,0.817,0.7,1.517,2.109,0.0,2.109,0.216,0.162,0.378,50,16.0%,50,9,9,17,34.62%
David Bolland,CHI,26,F,35,7,7,14,22,-7,16:20,12:58,2:28,0:52,6,1,0,1,0,4,2,1,0,0,10,3,1,1,0,21.4%,0.735,0.735,1.469,0.793,0.529,1.321,0.691,1.382,2.073,0.2,0.2,0.4,46,15.2%,43,18,239,279,46.14%
Antoine Roussel,DAL,23,F,39,7,7,14,85,3,9:23,8:35,0:05,0:43,7,0,0,0,0,7,0,0,1,0,14,0,0,1,0,0.0%,1.146,1.146,2.291,1.253,1.253,2.506,0.0,0.0,0.0,0.179,0.179,0.359,46,15.2%,75,16,30,25,54.55%
Olli Jokinen,WPG,34,F,45,7,7,14,14,-19,17:07,14:46,2:20,0:00,7,0,0,0,0,6,1,0,2,1,13,1,0,2,1,7.1%,0.545,0.545,1.09,0.632,0.542,1.173,0.0,0.57,0.57,0.156,0.156,0.311,85,8.2%,91,27,300,330,47.62%
Kyle Clifford,LAK,21,F,48,7,7,14,51,1,10:36,9:52,0:16,0:26,7,0,0,1,0,7,0,0,0,0,14,0,0,1,0,0.0%,0.825,0.825,1.65,0.886,0.886,1.772,0.0,0.0,0.0,0.146,0.146,0.292,56,12.5%,155,12,1,8,11.11%
Erik Karlsson,OTT,22,D,17,6,8,14,8,8,27:09,20:52,4:30,1:46,3,2,1,2,0,6,2,0,4,1,9,4,1,6,1,28.6%,0.78,1.04,1.82,0.507,1.015,1.522,1.565,1.565,3.129,0.353,0.471,0.824,79,7.6%,10,14,0,0,0.00%
James Wisniewski,CBJ,28,D,30,5,9,14,15,-1,22:49,18:02,3:16,1:30,1,4,0,0,0,7,1,1,2,0,8,5,1,2,0,35.7%,0.438,0.788,1.226,0.111,0.776,0.887,2.438,0.61,3.048,0.167,0.3,0.467,62,8.1%,53,48,0,0,0.00%
Zach Bogosian,WPG,22,D,33,5,9,14,29,-5,23:07,19:23,1:44,1:59,5,0,0,0,0,6,3,0,0,0,11,3,0,0,0,21.4%,0.393,0.708,1.101,0.469,0.563,1.032,0.0,3.129,3.129,0.152,0.273,0.424,85,5.9%,79,50,0,0,0.00%
T.J. Galiardi,SJS,24,F,36,5,9,14,14,1,13:52,12:29,0:33,0:48,4,1,0,0,0,8,1,0,3,0,12,2,0,3,0,14.3%,0.601,1.081,1.682,0.534,1.067,1.601,2.953,2.953,5.906,0.139,0.25,0.389,68,7.4%,36,15,5,14,26.32%
Brandon Prust,MTL,28,F,38,5,9,14,110,11,13:38,11:16,0:25,1:56,5,0,0,1,0,9,0,0,2,0,14,0,0,3,0,0.0%,0.579,1.042,1.621,0.7,1.26,1.96,0.0,0.0,0.0,0.132,0.237,0.368,39,12.8%,87,26,25,30,45.45%
Kyle Chipchura,PHX,26,F,46,5,9,14,50,1,9:41,9:30,0:09,0:01,5,0,0,0,0,9,0,0,1,1,14,0,0,1,1,0.0%,0.673,1.211,1.883,0.686,1.235,1.921,0.0,0.0,0.0,0.109,0.196,0.304,37,13.5%,61,7,126,135,48.28%
Jochen Hecht,BUF,35,F,47,5,9,14,18,6,13:41,11:56,0:09,1:36,4,0,1,1,0,9,0,0,1,0,13,0,1,2,0,0.0%,0.466,0.839,1.305,0.428,0.963,1.39,0.0,0.0,0.0,0.106,0.191,0.298,69,7.3%,24,27,147,206,41.64%
Chris Phillips,OTT,34,D,48,5,9,14,43,-5,21:02,16:23,1:31,3:07,4,1,0,0,0,9,0,0,1,0,13,1,0,1,0,7.1%,0.297,0.535,0.832,0.305,0.686,0.991,0.82,0.0,0.82,0.104,0.188,0.292,89,5.6%,93,78,0,0,0.00%
Trevor Lewis,LAK,25,F,48,5,9,14,19,5,15:12,12:33,0:48,1:50,4,0,1,2,0,8,0,1,3,0,12,0,2,5,0,0.0%,0.411,0.74,1.151,0.398,0.796,1.194,0.0,0.0,0.0,0.104,0.188,0.292,92,5.4%,83,31,31,33,48.44%
Milan Michálek,OTT,28,F,23,4,10,14,17,8,18:11,14:18,2:35,1:17,4,0,0,0,0,7,2,1,1,0,11,2,1,1,0,14.3%,0.574,1.434,2.008,0.729,1.276,2.005,0.0,2.015,2.015,0.174,0.435,0.609,58,6.9%,6,13,2,2,50.00%
Patric Hörnqvist,NSH,25,F,24,4,10,14,14,-1,16:13,13:25,2:48,0:00,0,4,0,1,0,7,3,0,1,0,7,7,0,2,0,50.0%,0.616,1.541,2.157,0.0,1.304,1.304,3.561,2.671,6.231,0.167,0.417,0.583,87,4.6%,29,9,1,1,50.00%
Matt Niskanen,PIT,26,D,40,4,10,14,12,4,20:21,17:13,2:00,1:07,4,0,0,2,0,8,2,0,1,1,12,2,0,3,1,14.3%,0.295,0.737,1.032,0.348,0.697,1.045,0.0,1.492,1.492,0.1,0.25,0.35,67,6.0%,49,47,0,0,0.00%
Boyd Gordon,PHX,29,F,48,4,10,14,8,0,15:00,12:00,0:09,2:51,4,0,0,0,0,7,2,1,1,0,11,2,1,1,0,14.3%,0.333,0.833,1.166,0.417,0.729,1.146,0.0,16.401,16.401,0.083,0.208,0.292,59,6.8%,22,44,452,337,57.29%
Stephen Gionta,NJD,29,F,48,4,10,14,14,2,13:01,11:14,0:07,1:39,4,0,0,0,0,9,0,1,3,0,13,0,1,3,0,0.0%,0.384,0.96,1.344,0.445,1.001,1.446,0.0,0.0,0.0,0.083,0.208,0.292,58,6.9%,87,14,137,253,35.13%
Beau Bennett,PIT,21,F,26,3,11,14,6,7,12:18,10:38,1:39,0:00,2,1,0,2,0,7,4,0,1,0,9,5,0,3,0,35.7%,0.563,2.063,2.626,0.434,1.519,1.953,1.387,5.547,6.934,0.115,0.423,0.538,30,10.0%,28,9,1,3,25.00%
Lubomir Visnovsky,NYI,36,D,35,3,11,14,20,12,22:48,18:39,3:12,0:55,2,1,0,0,0,4,7,0,2,0,6,8,0,2,0,57.1%,0.226,0.827,1.052,0.184,0.367,0.551,0.534,3.736,4.27,0.086,0.314,0.4,69,4.4%,20,52,0,0,0.00%
Jason Chimera,WSH,33,F,47,3,11,14,48,-5,12:40,12:19,0:14,0:07,3,0,0,0,0,11,0,0,2,0,14,0,0,2,0,0.0%,0.302,1.108,1.41,0.311,1.14,1.451,0.0,0.0,0.0,0.064,0.234,0.298,92,3.3%,73,12,21,15,58.33%
Kevin Klein,NSH,28,D,47,3,11,14,9,-1,20:25,17:30,0:09,2:44,3,0,0,0,0,11,0,0,2,0,14,0,0,2,0,0.0%,0.188,0.688,0.875,0.219,0.802,1.02,0.0,0.0,0.0,0.064,0.234,0.298,54,5.6%,66,89,0,0,0.00%
Dustin Penner,LAK,30,F,33,2,12,14,18,-2,12:41,11:47,0:53,0:00,2,0,0,0,0,11,1,0,1,0,13,1,0,1,0,7.1%,0.286,1.718,2.005,0.308,1.696,2.005,0.0,2.036,2.036,0.061,0.364,0.424,61,3.3%,59,7,2,3,40.00%
Daniel Girardi,NYR,28,D,46,2,12,14,16,-1,25:24,20:13,2:08,3:02,2,0,0,1,1,10,2,0,2,0,12,2,0,3,1,14.3%,0.103,0.616,0.719,0.129,0.645,0.774,0.0,1.217,1.217,0.043,0.261,0.304,81,2.5%,102,125,0,0,0.00%
T.J. Brodie,CGY,22,D,47,2,12,14,8,-9,20:13,17:35,2:01,0:35,2,0,0,0,0,6,6,0,3,1,8,6,0,3,1,42.9%,0.126,0.758,0.884,0.145,0.435,0.58,0.0,3.791,3.791,0.043,0.255,0.298,44,4.6%,24,74,0,0,0.00%
Raphael Diaz,MTL,26,D,23,1,13,14,6,4,20:33,14:53,3:23,2:16,1,0,0,0,0,5,8,0,1,0,6,8,0,1,0,57.1%,0.127,1.65,1.777,0.175,0.876,1.052,0.0,6.15,6.15,0.043,0.565,0.609,34,2.9%,11,44,0,0,0.00%
Justin Abdelkader,DET,25,F,48,10,3,13,34,6,14:48,13:38,0:39,0:30,10,0,0,0,0,3,0,0,1,0,13,0,0,1,0,0.0%,0.844,0.253,1.097,0.916,0.275,1.191,0.0,0.0,0.0,0.208,0.063,0.271,96,10.4%,120,13,65,60,52.00%
Erik Cole,DAL,34,F,47,9,4,13,20,-6,16:23,12:36,2:56,0:50,8,1,0,2,0,2,2,0,1,0,10,3,0,3,0,23.1%,0.701,0.312,1.012,0.81,0.202,1.012,0.435,0.87,1.305,0.191,0.085,0.277,86,10.5%,101,27,22,45,32.84%
Nick Spaling,NSH,24,F,47,9,4,13,18,-10,15:51,13:31,0:14,2:05,8,1,0,2,0,2,1,1,0,0,10,2,1,2,0,15.4%,0.724,0.322,1.046,0.755,0.189,0.943,5.333,5.333,10.667,0.191,0.085,0.277,57,15.8%,38,21,223,259,46.27%
Matt Beleskey,ANA,24,F,42,8,5,13,56,2,12:00,11:06,0:49,0:04,6,2,0,1,0,5,0,0,1,0,11,2,0,2,0,15.4%,0.951,0.594,1.546,0.771,0.643,1.414,3.46,0.0,3.46,0.19,0.119,0.31,61,13.1%,103,16,6,13,31.58%
